rep_name,district_pretty,state,geoid20,party,office,phone,all_committees,appropriations,agriculture,oversight_and_accountability,armed_services,natural_resources,foreign_affairs,homeland_security,education_and_the_workforce,energy_and_commerce,ways_and_means,financial_services,transportation_and_infrastructure,small_business,judiciary,budget,select_subcommittee_on_the_weaponization_of_the_fed_govt,joint_committee_on_taxation,house_administration,Intelligence,select_subcommittee_on_the_coronavirus_pandemic,science_space_and_technology,veterans_affairs,select_sub_us_china,ethics,Rules,joint_library
Doug LaMalfa,California 1st,California ,0601,R,408 CHOB,(202) 225-3076,agriculture|natural_resources|transportation_and_infrastructure,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbara Lee,California 12th,California ,0612,D,2470 RHOB,(202) 225-2661,appropriations|budget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Levin,California 49th,California ,0649,D,2352 RHOB,(202) 225-3906,natural_resources|veterans_affairs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ted Lieu,California 36th,California ,0636,D,2454 RHOB,(202) 225-3976,foreign_affairs|judiciary|science_space_and_technology,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Zoe Lofgren,California 18th,California ,0618,D,1401 LHOB,(202) 225-3072,judiciary|science_space_and_technology,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Doris Matsui,California 7th,California ,0607,D,2311 RHOB,(202) 225-7163,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin McCarthy,California 20th,California ,0620,R,2468 RHOB,(202) 225-2915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom McClintock,California 5th,California ,0605,R,2256 RHOB,(202) 225-2511,budget|natural_resources|judiciary,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Kevin Mullin,California 15th,California ,0615,D,1404 LHOB,(202) 225-3531,natural_resources|science_space_and_technology,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grace Napolitano,California 31st,California ,0631,D,1610 LHOB,(202) 225-5256,natural_resources|transportation_and_infrastructure,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Obernolte,California 23rd,California ,0623,R,1029 LHOB,(202) 225-5861,energy_and_commerce|science_space_and_technology,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jimmy Panetta,California 19th,California ,0619,D,304 CHOB,(202) 225-2861,armed_services|budget|ways_and_means,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nancy Pelosi,California 11th,California ,0611,D,1236 LHOB,(202) 225-4965,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Peters,California 50th,California ,0650,D,1201 LHOB,(202) 225-0508,budget|energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Katie Porter,California 47th,California ,0647,D,1233 LHOB,(202) 225-5611,oversight_and_accountability|natural_resources,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Ruiz,California 25th,California ,0625,D,2342 RHOB,(202) 225-5330,energy_and_commerce|select_subcommittee_on_the_coronavirus_pandemic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Linda Sanchez,California 38th,California ,0638,D,2428 RHOB,(202) 225-6676,select_subcommittee_on_the_weaponization_of_the_fed_govt|ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adam Schiff,California 30th,California ,0630,D,2309 RHOB,(202) 225-4176,judiciary,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brad Sherman,California 32nd,California ,0632,D,2365 RHOB,(202) 225-5911,financial_services|foreign_affairs,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelle Steel,California 45th,California ,0645,R,1127 LHOB,(202) 225-2415,education_and_the_workforce|ways_and_means|select_sub_us_china,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eric Swalwell,California 14th,California ,0614,D,174 CHOB,(202) 225-5065,homeland_security|judiciary,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mark Takano,California 39th,California ,0639,D,2078 RHOB,(202) 225-2305,education_and_the_workforce|veterans_affairs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mike Thompson,California 4th,California ,0604,D,268 CHOB,(202) 225-3311,ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norma Torres,California 35th,California ,0635,D,2227 RHOB,(202) 225-6161,appropriations|house_administration,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
David Valadao,California 22nd,California ,0622,R,2465 RHOB,(202) 225-4695,appropriations|budget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Juan Vargas,California 52nd,California ,0652,D,2334 RHOB,(202) 225-8045,financial_services,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxine Waters,California 43rd,California ,0643,D,2221 RHOB,(202) 225-2201,financial_services,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauren Boebert,Colorado 3rd,Colorado ,0803,R,1713 LHOB,(202) 225-4761,oversight_and_accountability|natural_resources,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Buck,Colorado 4th,Colorado ,0804,R,2455 RHOB,(202) 225-4676,foreign_affairs|judiciary,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yadira Caraveo,Colorado 8th,Colorado ,0808,D,1024 LHOB,(202) 225-5625,agriculture|science_space_and_technology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jason Crow,Colorado 6th,Colorado ,0806,D,1323 LHOB,(202) 225-7882,foreign_affairs|Intelligence,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diana DeGette,Colorado 1st,Colorado ,0801,D,2111 RHOB,(202) 225-4431,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug Lamborn,Colorado 5th,Colorado ,0805,R,2371 RHOB,(202) 225-4422,armed_services|natural_resources,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Neguse,Colorado 2nd,Colorado ,0802,D,2400 RHOB,(202) 225-2161,natural_resources|judiciary|Rules,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Brittany Pettersen,Colorado 7th,Colorado ,0807,D,1230 LHOB,(202) 225-2645,financial_services,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Courtney,Connecticut 2nd,Connecticut ,0902,D,2449 RHOB,(202) 225-2076,armed_services|education_and_the_workforce,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa DeLauro,Connecticut 3rd,Connecticut ,0903,D,2413 RHOB,(202) 225-3661,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahana Hayes,Connecticut 5th,Connecticut ,0905,D,2458 RHOB,(202) 225-4476,agriculture|education_and_the_workforce,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Himes,Connecticut 4th,Connecticut ,0904,D,2137 RHOB,(202) 225-5541,financial_services|Intelligence,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
John Larson,Connecticut 1st,Connecticut ,0901,D,1501 LHOB,(202) 225-2265,ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisa Blunt Rochester,Delaware ,Delaware ,1000,D,1724 LHOB,(202) 225-4165,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Bean,Florida 4th,Florida ,1204,R,1239 LHOB,(202) 225-0123,education_and_the_workforce|transportation_and_infrastructure|small_business,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Bilirakis,Florida 12th,Florida ,1212,R,2306 RHOB,(202) 225-5755,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vern Buchanan,Florida 16th,Florida ,1216,R,2110 RHOB,(202) 225-5015,joint_committee_on_taxation|ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kat Cammack,Florida 3rd,Florida ,1203,R,2421 RHOB,(202) 225-5744,agriculture|select_subcommittee_on_the_weaponization_of_the_fed_govt|energy_and_commerce,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kathy Castor,Florida 14th,Florida ,1214,D,2052 RHOB,(202) 225-3376,energy_and_commerce|select_sub_us_china,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sheila Cherfilus-McCormick,Florida 20th,Florida ,1220,D,242 CHOB,(202) 225-1313,foreign_affairs|veterans_affairs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mario Diaz-Balart,Florida 26th,Florida ,1226,R,374 CHOB,(202) 225-4211,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Donalds,Florida 19th,Florida ,1219,R,1719 LHOB,(202) 225-2536,financial_services|oversight_and_accountability,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal Dunn,Florida 2nd,Florida ,1202,R,466 CHOB,(202) 225-5235,energy_and_commerce|select_sub_us_china,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lois Frankel,Florida 22nd,Florida ,1222,D,2305 RHOB,(202) 225-9890,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Franklin,Florida 18th,Florida ,1218,R,249 CHOB,(202) 225-1252,appropriations|science_space_and_technology|veterans_affairs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Maxwell Frost,Florida 10th,Florida ,1210,D,1224 LHOB,(202) 225-2176,oversight_and_accountability|science_space_and_technology,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Matt Gaetz,Florida 1st,Florida ,1201,R,2021 RHOB,(202) 225-4136,armed_services|select_subcommittee_on_the_weaponization_of_the_fed_govt|judiciary,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Carlos Gimenez,Florida 28th,Florida ,1228,R,448 CHOB,(202) 225-2778,armed_services|homeland_security|select_sub_us_china,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laurel Lee,Florida 15th,Florida ,1215,R,1118 LHOB,(202) 225-5626,house_administration|homeland_security|judiciary,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anna Paulina Luna,Florida 13th,Florida ,1213,R,1017 LHOB,(202) 225-5961,oversight_and_accountability|natural_resources,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Mast,Florida 21st,Florida ,1221,R,2182 RHOB,(202) 225-3026,foreign_affairs|transportation_and_infrastructure,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Mills,Florida 7th,Florida ,1207,R,1237 LHOB,(202) 225-4035,armed_services|foreign_affairs,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Moskowitz,Florida 23rd,Florida ,1223,D,1130 LHOB,(202) 225-3001,foreign_affairs|oversight_and_accountability,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Posey,Florida 8th,Florida ,1208,R,2150 RHOB,(202) 225-3671,financial_services|science_space_and_technology,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
John Rutherford,Florida 5th,Florida ,1205,R,1711 LHOB,(202) 225-2501,appropriations|ethics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maria Salazar,Florida 27th,Florida ,1227,R,2162 RHOB,(202) 225-3931,foreign_affairs|small_business,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Soto,Florida 9th,Florida ,1209,D,2353 RHOB,(202) 225-9889,agriculture|energy_and_commerce,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Steube,Florida 17th,Florida ,1217,R,2457 RHOB,(202) 225-5792,select_subcommittee_on_the_weaponization_of_the_fed_govt|ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Michael Waltz,Florida 6th,Florida ,1206,R,244 CHOB,(202) 225-2706,armed_services|foreign_affairs|Intelligence,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Debbie Wasserman Schultz,Florida 25th,Florida ,1225,D,270 CHOB,(202) 225-7931,appropriations|select_subcommittee_on_the_weaponization_of_the_fed_govt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Daniel Webster,Florida 11th,Florida ,1211,R,2184 RHOB,(202) 225-1002,natural_resources|transportation_and_infrastructure|science_space_and_technology,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Frederica Wilson,Florida 24th,Florida ,1224,D,2080 RHOB,(202) 225-4506,education_and_the_workforce|transportation_and_infrastructure,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Allen,Georgia 12th,Georgia ,1312,R,462 CHOB,(202) 225-2823,education_and_the_workforce|energy_and_commerce,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanford Bishop,Georgia 2nd,Georgia ,1302,D,2407 RHOB,(202) 225-3631,agriculture|appropriations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Carter,Georgia 1st,Georgia ,1301,R,2432 RHOB,(202) 225-5831,budget|energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andrew Clyde,Georgia 9th,Georgia ,1309,R,445 CHOB,(202) 225-9893,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Collins,Georgia 10th,Georgia ,1310,R,1223 LHOB,(202) 225-4101,natural_resources|transportation_and_infrastructure|science_space_and_technology,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A. Ferguson,Georgia 3rd,Georgia ,1303,R,2239 RHOB,(202) 225-5901,budget|ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marjorie Greene,Georgia 14th,Georgia ,1314,R,403 CHOB,(202) 225-5211,oversight_and_accountability|homeland_security|select_subcommittee_on_the_coronavirus_pandemic,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Henry Johnson,Georgia 4th,Georgia ,1304,D,2240 RHOB,(202) 225-1605,judiciary|transportation_and_infrastructure,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
