GEOID20,CD118FP,h_rep_name,h_district_pretty,h_state,h_party,h_office,h_phone,h_all_committees,h_appropriations,h_agriculture,h_oversight_and_accountability,h_armed_services,h_natural_resources,h_foreign_affairs,h_homeland_security,h_education_and_the_workforce,h_energy_and_commerce,h_ways_and_means,h_financial_services,h_transportation_and_infrastructure,h_small_business,h_judiciary,h_budget,h_select_subcommittee_on_the_weaponization_of_the_fed_govt,h_joint_committee_on_taxation,h_house_administration,h_Intelligence,h_select_subcommittee_on_the_coronavirus_pandemic,h_science_space_and_technology,h_veterans_affairs,h_select_sub_us_china,h_ethics,h_Rules,h_joint_library,contract_actions,unique_awards,unique_companies,unique_addresses,unique_agencies,total_obligation,mean_obligation,median_obligation,max_obligation,min_obligation,std_obligation,largest_recipient,largest_agency,total_money_millions,money_per_company,money_per_company_millions,money_per_award,contracts_per_company
0608,08,John Garamendi,California 8th,California ,D,2004 RHOB,(202) 225-1880,armed_services|select_subcommittee_on_the_weaponization_of_the_fed_govt|transportation_and_infrastructure,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011,1718,180,192,21,368078506.94,122244.60542676851,4206.55,23962024.88,-6265978.29,821951.8180006668,RIX INDUSTRIES,Department of Defense,368.08,2044880.594111111,2.04,214248.25782305005,16.727777777777778
0609,09,Josh Harder,California 9th,California ,D,209 CHOB,(202) 225-4540,appropriations,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22635,21894,83,92,16,918066338.54,40559.59083454827,1773.49,72055011.6,-7114987.0,769053.6775019789,"AERO TURBINE, INC",Department of Defense,918.07,11061040.223373493,11.06,41932.325684662464,272.71084337349396
0610,10,Mark DeSaulnier,California 10th,California ,D,503 CHOB,(202) 225-2095,education_and_the_workforce|transportation_and_infrastructure|ethics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7069,4416,276,315,27,2430436502.65,343816.1695642948,152.52,138728089.0,-12310926.35,3461688.3153827977,GILBANE FEDERAL,Department of Defense,2430.44,8805929.357427537,8.81,550370.5848392211,25.61231884057971
0611,11,Nancy Pelosi,California 11th,California ,D,1236 LHOB,(202) 225-4965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4810,2599,479,568,48,686850167.46,142796.2926112266,0.0,61300401.0,-42074015.5,1473404.388703923,"VIR BIOTECHNOLOGY, INC.",Department of Health and Human Services,686.85,1433925.1930271399,1.43,264274.7854790304,10.041753653444676
0612,12,Barbara Lee,California 12th,California ,D,2470 RHOB,(202) 225-2661,appropriations|budget,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7686,4993,363,427,38,4058755988.5,528071.2969685142,1642.845,346628908.84,-13000000.0,7704160.390265541,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,Department of Energy,4058.76,11181145.9738292,11.18,812889.2426396955,21.173553719008265
0613,13,John Duarte,California 13th,California ,R,1535 LHOB,(202) 225-1947,agriculture|natural_resources|transportation_and_infrastructure,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095,650,91,102,14,268877036.39,245549.8049223744,4492.68,27283480.82,-1697534.84,1406096.8023571922,"SUN VALLEY RAISINS, INC., A CALIFORNIA CORPORATION",Department of Agriculture,268.88,2954692.7075824174,2.95,413656.9790615384,12.032967032967033
0614,14,Eric Swalwell,California 14th,California ,D,174 CHOB,(202) 225-5065,homeland_security|judiciary,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12753,11309,240,270,23,6670029812.23,523016.5304030424,926.44,1660695900.69,-205569033.22,20507794.336922944,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",Department of Energy,6670.03,27791790.884291664,27.79,589798.3740587143,53.1375
0615,15,Kevin Mullin,California 15th,California ,D,1404 LHOB,(202) 225-3531,natural_resources|science_space_and_technology,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6117,3588,314,376,40,2347542703.81,383773.5334003596,9710.4,396999520.0,-396999520.0,8869433.21709326,"GENENTECH USA, INC",Department of Health and Human Services,2347.54,7476250.649076433,7.48,654276.1158890746,19.480891719745223
0616,16,Anna Eshoo,California 16th,California ,D,272 CHOB,(202) 225-8104,energy_and_commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8331,5100,370,417,38,3928533472.53,471556.05239827157,1437.45,294247361.0,-8230052.0,5565085.386086418,LOCKHEED MARTIN CORPORATION,Department of Commerce,3928.53,10617658.033864865,10.62,770300.6808882353,22.516216216216215
0617,17,Ro Khanna,California 17th,California ,D,306 CHOB,(202) 225-2631,armed_services|oversight_and_accountability|select_sub_us_china,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66616,59133,495,569,58,5436948789.94,81616.2602068572,160.0,716653281.86,-17172740.57,3218917.983430416,LOCKHEED MARTIN CORP,Department of Defense,5436.95,10983734.929171717,10.98,91944.4098885563,134.57777777777778
0618,18,Zoe Lofgren,California 18th,California ,D,1401 LHOB,(202) 225-3072,judiciary|science_space_and_technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2736,1423,136,150,23,1271528503.31,464739.9500402047,69.88,172948401.4,-3387436.8,5528685.800347797,GRANITE CONSTRUCTION COMPANY,Department of Defense,1271.53,9349474.289044118,9.35,893554.8160997891,20.11764705882353
0619,19,Jimmy Panetta,California 19th,California ,D,304 CHOB,(202) 225-2861,armed_services|budget|ways_and_means,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063,2845,236,257,23,550891345.03,135587.33571991138,1045.0,25761947.5,-3439292.81,972396.9015476502,NORTHROP GRUMMAN SYSTEMS CORPORATION,Department of Defense,550.89,2334285.3602966103,2.33,193634.91916695956,17.216101694915253
0620,20,Kevin McCarthy,California 20th,California ,R,2468 RHOB,(202) 225-2915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3954,2829,198,225,17,372246220.04,94144.21346484573,12149.75,12627309.82,-6636699.57,579266.2427443486,"NEW DIRECTIONS TECHNOLOGIES, INC.",Department of Defense,372.25,1880031.4143434344,1.88,131582.26229763168,19.96969696969697
0621,21,Jim Costa,California 21st,California ,D,2081 RHOB,(202) 225-3341,agriculture|foreign_affairs,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431,788,156,171,14,451350304.39,315409.01774283714,0.0,16570016.0,-4402475.0,1296280.7317982467,"G. L. BRUNO ASSOCIATES, INC.",Department of Veterans Affairs,451.35,2893271.1819871794,2.89,572779.5740989847,9.173076923076923
0622,22,David Valadao,California 22nd,California ,R,2465 RHOB,(202) 225-4695,appropriations|budget,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313,916,79,88,16,232012388.72,176704.02796648897,10012.2,14975751.0,-752236.8,1047756.7843362921,"CENTRAL VALLEY MEAT CO., INC.",Department of Agriculture,232.01,2936865.68,2.94,253288.63397379912,16.620253164556964
0623,23,Jay Obernolte,California 23rd,California ,R,1029 LHOB,(202) 225-5861,energy_and_commerce|science_space_and_technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5534,4522,123,136,25,438818424.87,79294.98100289122,1007.4100000000001,19934398.0,-949222.38,640808.4832709297,"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",Department of Agriculture,438.82,3567629.470487805,3.57,97040.78391640868,44.99186991869919
0624,24,Salud Carbajal,California 24th,California ,D,2331 RHOB,(202) 225-3601,agriculture|armed_services|transportation_and_infrastructure,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18371,14791,447,520,33,1784788636.8,97152.50322791356,304.2,59043570.0,-4800198.0,931211.1677912095,"L3 TECHNOLOGIES, INC.",Department of Defense,1784.79,3992815.7422818793,3.99,120667.20551686836,41.09843400447427
0625,25,Raul Ruiz,California 25th,California ,D,2342 RHOB,(202) 225-5330,energy_and_commerce|select_subcommittee_on_the_coronavirus_pandemic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8302,7573,88,96,10,810647444.12,97644.83788484703,1467.695,294464516.71,-60144892.11,3661425.8256969694,ARMTEC DEFENSE PRODUCTS CO.,Department of Defense,810.65,9211902.774090908,9.21,107044.42679519345,94.3409090909091
0626,26,Julia Brownley,California 26th,California ,D,2262 RHOB,(202) 225-5811,transportation_and_infrastructure|veterans_affairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16447,10407,355,418,35,2145939188.85,130476.02534504772,1121.04,204858569.4,-5107198.14,2566174.39042844,AMGEN USA INC,Department of Health and Human Services,2145.94,6044899.123521127,6.04,206201.5171375036,46.329577464788734
